sample_id,domain,experience_level,resume_text,matched_skills,missing_skills,n_matched,n_total_skills,match_ratio,cosine_sim,skill_density,exp_bonus,keyword_overlap,seniority_signal,domain_term_freq,skill_depth,score
147,AI/ML,Senior,"Senior AI/ML professional with 8+ years of experience. Led multiple high-impact projects. Skills: Deep Learning, TensorFlow, MLflow, CUDA, Python, LangChain. Background includes 10+ years roles.",Deep Learning | TensorFlow | MLflow | CUDA | Python | LangChain | BERT | Hugging Face | NLP | Keras | Computer Vision | Scikit-learn | Transformers | PyTorch | OpenCV,,15,15,1.0,0.8529,1.0,0.9,0.7313,0.6923,0.7207,1.0,94
148,AI/ML,Senior,"Experienced AI/ML architect with 10+ years delivering enterprise-scale solutions. Skills: PyTorch, NLP, Scikit-learn, Transformers, TensorFlow, LangChain. Background includes senior roles.",PyTorch | NLP | Scikit-learn | Transformers | TensorFlow | LangChain | CUDA | MLflow | Computer Vision | Hugging Face,Python | Deep Learning | Keras | OpenCV | BERT,10,15,0.6667,0.5541,1.0,0.9,0.4947,0.6384,0.5934,0.625,67
149,AI/ML,Senior,"Principal AI/ML engineer with deep expertise and strong leadership background. Skills: BERT, Transformers, Computer Vision, TensorFlow, OpenCV, Deep Learning. Background includes head of roles.",BERT | Transformers | Computer Vision | TensorFlow | OpenCV | Deep Learning | NLP | Hugging Face | LangChain | Scikit-learn | CUDA | Keras | PyTorch,Python | MLflow,13,15,0.8667,0.78,1.0,0.9,0.6348,0.6694,0.7201,0.875,85
150,AI/ML,Senior,"Experienced AI/ML architect with 10+ years delivering enterprise-scale solutions. Skills: TensorFlow, Deep Learning, Scikit-learn, CUDA, PyTorch, Transformers. Background includes principal roles.",TensorFlow | Deep Learning | Scikit-learn | CUDA | PyTorch | Transformers | BERT | LangChain | Python | NLP | Keras,Computer Vision | OpenCV | MLflow | Hugging Face,11,15,0.7333,0.669,1.0,0.9,0.6619,0.5224,0.519,0.875,83
151,DevOps,Entry-Level,"Junior DevOps developer eager to learn and grow in a fast-paced environment. Skills: Prometheus, GCP, Kubernetes, Azure, Nginx. Background includes fresher roles.",Prometheus | GCP | Kubernetes | Azure | Nginx,Docker | CI/CD | Jenkins | AWS | Terraform | Ansible | Linux | Shell Scripting | Git | Grafana,5,15,0.3333,0.3121,1.0,0.3,0.2335,0.1909,0.1893,0.375,36
152,DevOps,Entry-Level,"Junior DevOps developer eager to learn and grow in a fast-paced environment. Skills: Ansible, Azure. Background includes fresher roles.",Ansible | Azure,Docker | Kubernetes | CI/CD | Jenkins | AWS | GCP | Terraform | Linux | Shell Scripting | Git | Prometheus | Grafana | Nginx,2,15,0.1333,0.1009,0.813,0.3,0.1098,0.1938,0.1035,0.125,18
153,DevOps,Entry-Level,"Recent graduate with a degree in Computer Science, passionate about DevOps. Skills: AWS, Terraform, Git. Background includes fresher roles.",AWS | Terraform | Git,Docker | Kubernetes | CI/CD | Jenkins | Azure | GCP | Ansible | Linux | Shell Scripting | Prometheus | Grafana | Nginx,3,15,0.2,0.1745,1.0,0.3,0.144,0.1602,0.1199,0.25,21
154,DevOps,Entry-Level,"Recent graduate with a degree in Computer Science, passionate about DevOps. Skills: CI/CD, Jenkins, Git. Background includes 0-1 years roles.",CI/CD | Jenkins | Git,Docker | Kubernetes | AWS | Azure | GCP | Terraform | Ansible | Linux | Shell Scripting | Prometheus | Grafana | Nginx,3,15,0.2,0.1811,1.0,0.3,0.1804,0.0826,0.1314,0.25,20
155,DevOps,Entry-Level,"Junior DevOps developer eager to learn and grow in a fast-paced environment. Skills: Jenkins, AWS. Background includes entry level roles.",Jenkins | AWS,Docker | Kubernetes | CI/CD | Azure | GCP | Terraform | Ansible | Linux | Shell Scripting | Git | Prometheus | Grafana | Nginx,2,15,0.1333,0.1149,0.8333,0.3,0.1144,0.1535,0.0811,0.25,15
156,DevOps,Entry-Level,"Recent graduate with a degree in Computer Science, passionate about DevOps. Skills: Git. Background includes entry level roles.",Git,Docker | Kubernetes | CI/CD | Jenkins | AWS | Azure | GCP | Terraform | Ansible | Linux | Shell Scripting | Prometheus | Grafana | Nginx,1,15,0.0667,0.0454,0.5208,0.3,0.0495,0.1457,0.0373,0.0,10
157,DevOps,Entry-Level,"Recent graduate with a degree in Computer Science, passionate about DevOps. Skills: Git, Terraform, Docker. Background includes entry level roles.",Git | Terraform | Docker,Kubernetes | CI/CD | Jenkins | AWS | Azure | GCP | Ansible | Linux | Shell Scripting | Prometheus | Grafana | Nginx,3,15,0.2,0.1378,1.0,0.3,0.147,0.2868,0.132,0.25,22
158,DevOps,Entry-Level,"Entry-level DevOps intern with foundational knowledge and strong academic background. Skills: CI/CD, Kubernetes, Terraform, Nginx. Background includes intern roles.",CI/CD | Kubernetes | Terraform | Nginx,Docker | Jenkins | AWS | Azure | GCP | Ansible | Linux | Shell Scripting | Git | Prometheus | Grafana,4,15,0.2667,0.1868,1.0,0.3,0.2534,0.1321,0.1749,0.375,29
159,DevOps,Entry-Level,"Entry-level DevOps intern with foundational knowledge and strong academic background. Skills: Kubernetes, Azure, Grafana, Terraform, Shell Scripting. Background includes entry level roles.",Kubernetes | Azure | Grafana | Terraform | Shell Scripting,Docker | CI/CD | Jenkins | AWS | GCP | Ansible | Linux | Git | Prometheus | Nginx,5,15,0.3333,0.2983,1.0,0.3,0.3116,0.2204,0.2184,0.375,35
160,DevOps,Entry-Level,"Entry-level DevOps intern with foundational knowledge and strong academic background. Skills: Ansible, Git, Kubernetes. Background includes trainee roles.",Ansible | Git | Kubernetes,Docker | CI/CD | Jenkins | AWS | Azure | GCP | Terraform | Linux | Shell Scripting | Prometheus | Grafana | Nginx,3,15,0.2,0.1512,1.0,0.3,0.1922,0.0392,0.1653,0.125,17
161,DevOps,Entry-Level,"Recent graduate with a degree in Computer Science, passionate about DevOps. Skills: Shell Scripting, Prometheus, Nginx, Git. Background includes intern roles.",Shell Scripting | Prometheus | Nginx | Git,Docker | Kubernetes | CI/CD | Jenkins | AWS | Azure | GCP | Terraform | Ansible | Linux | Grafana,4,15,0.2667,0.1975,1.0,0.3,0.2285,0.1688,0.1878,0.0,25
162,DevOps,Entry-Level,"Junior DevOps developer eager to learn and grow in a fast-paced environment. Skills: Linux, Grafana, Azure. Background includes junior roles.",Linux | Grafana | Azure,Docker | Kubernetes | CI/CD | Jenkins | AWS | GCP | Terraform | Ansible | Shell Scripting | Git | Prometheus | Nginx,3,15,0.2,0.1336,1.0,0.3,0.1663,0.2541,0.1725,0.125,20
163,DevOps,Entry-Level,"Recent graduate with a degree in Computer Science, passionate about DevOps. Skills: Docker, Jenkins, Ansible. Background includes trainee roles.",Docker | Jenkins | Ansible,Kubernetes | CI/CD | AWS | Azure | GCP | Terraform | Linux | Shell Scripting | Git | Prometheus | Grafana | Nginx,3,15,0.2,0.1381,1.0,0.3,0.1787,0.2459,0.1333,0.25,22
164,DevOps,Entry-Level,"Recent graduate with a degree in Computer Science, passionate about DevOps. Skills: Grafana, Git, AWS. Background includes 0-1 years roles.",Grafana | Git | AWS,Docker | Kubernetes | CI/CD | Jenkins | Azure | GCP | Terraform | Ansible | Linux | Shell Scripting | Prometheus | Nginx,3,15,0.2,0.1744,1.0,0.3,0.1403,0.2811,0.1675,0.125,26
165,DevOps,Entry-Level,Junior DevOps developer eager to learn and grow in a fast-paced environment. Skills: Linux. Background includes intern roles.,Linux,Docker | Kubernetes | CI/CD | Jenkins | AWS | Azure | GCP | Terraform | Ansible | Shell Scripting | Git | Prometheus | Grafana | Nginx,1,15,0.0667,0.0495,0.6623,0.3,0.0489,0.2425,0.0588,0.0,10
166,DevOps,Mid-Level,"Mid-level DevOps developer with 3+ years working on real-world projects. Skills: Docker, Nginx, Shell Scripting, CI/CD, Terraform. Background includes developer roles.",Docker | Nginx | Shell Scripting | CI/CD | Terraform,Kubernetes | Jenkins | AWS | Azure | GCP | Ansible | Linux | Git | Prometheus | Grafana,5,15,0.3333,0.2459,1.0,0.6,0.2738,0.5624,0.2208,0.375,40
167,DevOps,Mid-Level,"Mid-level DevOps developer with 3+ years working on real-world projects. Skills: Jenkins, Terraform, Nginx, Kubernetes, Azure, Prometheus. Background includes specialist roles.",Jenkins | Terraform | Nginx | Kubernetes | Azure | Prometheus | Git | Linux | CI/CD,Docker | AWS | GCP | Ansible | Shell Scripting | Grafana,9,15,0.6,0.5196,1.0,0.6,0.5009,0.4343,0.4612,0.625,58
168,DevOps,Mid-Level,"Experienced DevOps specialist with 5 years of industry experience. Skills: Docker, Linux, Shell Scripting, GCP, Ansible, Nginx. Background includes engineer roles.",Docker | Linux | Shell Scripting | GCP | Ansible | Nginx | CI/CD | Grafana | Prometheus | Azure,Kubernetes | Jenkins | AWS | Terraform | Git,10,15,0.6667,0.6097,1.0,0.6,0.611,0.3086,0.4606,0.5,59
169,DevOps,Mid-Level,"DevOps engineer with 4+ years of hands-on experience in building production systems. Skills: CI/CD, Jenkins, AWS, Ansible, Terraform. Background includes engineer roles.",CI/CD | Jenkins | AWS | Ansible | Terraform,Docker | Kubernetes | Azure | GCP | Linux | Shell Scripting | Git | Prometheus | Grafana | Nginx,5,15,0.3333,0.2908,1.0,0.6,0.3264,0.5307,0.1985,0.5,42
170,DevOps,Mid-Level,"Mid-level DevOps developer with 3+ years working on real-world projects. Skills: Linux, Ansible, GCP, Grafana, Shell Scripting, AWS. Background includes 4+ years roles.",Linux | Ansible | GCP | Grafana | Shell Scripting | AWS | Git | Nginx,Docker | Kubernetes | CI/CD | Jenkins | Azure | Terraform | Prometheus,8,15,0.5333,0.437,1.0,0.6,0.4746,0.4815,0.2941,0.25,50
171,DevOps,Mid-Level,"Experienced DevOps specialist with 5 years of industry experience. Skills: Kubernetes, Linux, CI/CD, Git, Azure, Ansible. Background includes 5+ years roles.",Kubernetes | Linux | CI/CD | Git | Azure | Ansible | GCP | Jenkins | Grafana,Docker | AWS | Terraform | Shell Scripting | Prometheus | Nginx,9,15,0.6,0.5059,1.0,0.6,0.4389,0.3994,0.4109,0.625,56
172,DevOps,Mid-Level,"DevOps engineer with 4+ years of hands-on experience in building production systems. Skills: Shell Scripting, Nginx, Docker, Azure, Linux, Jenkins. Background includes 5+ years roles.",Shell Scripting | Nginx | Docker | Azure | Linux | Jenkins,Kubernetes | CI/CD | AWS | GCP | Terraform | Ansible | Git | Prometheus | Grafana,6,15,0.4,0.3644,1.0,0.6,0.3856,0.2863,0.3149,0.375,45
173,DevOps,Mid-Level,"Experienced DevOps specialist with 5 years of industry experience. Skills: Linux, Shell Scripting, Docker, AWS, Azure, Nginx. Background includes specialist roles.",Linux | Shell Scripting | Docker | AWS | Azure | Nginx | CI/CD | Grafana | Jenkins,Kubernetes | GCP | Terraform | Ansible | Git | Prometheus,9,15,0.6,0.5184,1.0,0.6,0.5243,0.2341,0.339,0.625,59
174,DevOps,Mid-Level,"Experienced DevOps specialist with 5 years of industry experience. Skills: Shell Scripting, CI/CD, GCP, Jenkins, Docker, Ansible. Background includes 5+ years roles.",Shell Scripting | CI/CD | GCP | Jenkins | Docker | Ansible | Kubernetes | Terraform | Azure | Prometheus,AWS | Linux | Git | Grafana | Nginx,10,15,0.6667,0.4396,1.0,0.6,0.5475,0.4124,0.5055,0.875,63
175,DevOps,Mid-Level,"Mid-level DevOps developer with 3+ years working on real-world projects. Skills: AWS, CI/CD, Kubernetes, Nginx, Grafana, Terraform. Background includes engineer roles.",AWS | CI/CD | Kubernetes | Nginx | Grafana | Terraform | GCP | Prometheus | Docker,Jenkins | Azure | Ansible | Linux | Shell Scripting | Git,9,15,0.6,0.4126,1.0,0.6,0.4337,0.353,0.4072,0.75,55
176,DevOps,Mid-Level,"DevOps engineer with 4+ years of hands-on experience in building production systems. Skills: Kubernetes, Terraform, Grafana, Shell Scripting, AWS, CI/CD. Background includes specialist roles.",Kubernetes | Terraform | Grafana | Shell Scripting | AWS | CI/CD | Git | Azure | Nginx,Docker | Jenkins | GCP | Ansible | Linux | Prometheus,9,15,0.6,0.5483,1.0,0.6,0.4242,0.5594,0.4945,0.625,54
177,DevOps,Mid-Level,"Mid-level DevOps developer with 3+ years working on real-world projects. Skills: Git, Ansible, Linux, Kubernetes, GCP. Background includes engineer roles.",Git | Ansible | Linux | Kubernetes | GCP,Docker | CI/CD | Jenkins | AWS | Azure | Terraform | Shell Scripting | Prometheus | Grafana | Nginx,5,15,0.3333,0.264,1.0,0.6,0.2807,0.2231,0.2951,0.25,40
178,DevOps,Mid-Level,"Experienced DevOps specialist with 5 years of industry experience. Skills: Nginx, Jenkins, AWS, Git, CI/CD, Terraform. Background includes specialist roles.",Nginx | Jenkins | AWS | Git | CI/CD | Terraform | Prometheus | Kubernetes,Docker | Azure | GCP | Ansible | Linux | Shell Scripting | Grafana,8,15,0.5333,0.5037,1.0,0.6,0.4751,0.3553,0.4192,0.625,54
179,DevOps,Mid-Level,"Experienced DevOps specialist with 5 years of industry experience. Skills: CI/CD, Prometheus, Linux, AWS, Kubernetes, Grafana. Background includes 3+ years roles.",CI/CD | Prometheus | Linux | AWS | Kubernetes | Grafana | Shell Scripting,Docker | Jenkins | Azure | GCP | Terraform | Ansible | Git | Nginx,7,15,0.4667,0.3044,1.0,0.6,0.3589,0.2178,0.3246,0.375,46
180,DevOps,Mid-Level,"DevOps engineer with 4+ years of hands-on experience in building production systems. Skills: Jenkins, Docker, GCP, CI/CD, Prometheus, Terraform. Background includes 5+ years roles.",Jenkins | Docker | GCP | CI/CD | Prometheus | Terraform | Ansible | Nginx | Kubernetes,AWS | Azure | Linux | Shell Scripting | Git | Grafana,9,15,0.6,0.4198,1.0,0.6,0.5066,0.5591,0.4716,0.75,55
181,DevOps,Mid-Level,"Mid-level DevOps developer with 3+ years working on real-world projects. Skills: Git, GCP, Docker, AWS, Grafana. Background includes 3+ years roles.",Git | GCP | Docker | AWS | Grafana,Kubernetes | CI/CD | Jenkins | Azure | Terraform | Ansible | Linux | Shell Scripting | Prometheus | Nginx,5,15,0.3333,0.2426,1.0,0.6,0.3253,0.2704,0.2083,0.375,40
182,DevOps,Mid-Level,"DevOps engineer with 4+ years of hands-on experience in building production systems. Skills: Terraform, Grafana, Azure, CI/CD, Jenkins, Ansible. Background includes developer roles.",Terraform | Grafana | Azure | CI/CD | Jenkins | Ansible | Git | GCP | Linux,Docker | Kubernetes | AWS | Shell Scripting | Prometheus | Nginx,9,15,0.6,0.4725,1.0,0.6,0.4493,0.426,0.492,0.625,58
183,DevOps,Mid-Level,"Mid-level DevOps developer with 3+ years working on real-world projects. Skills: Docker, Grafana, Azure, CI/CD, GCP, Shell Scripting. Background includes developer roles.",Docker | Grafana | Azure | CI/CD | GCP | Shell Scripting | Kubernetes | Terraform | Nginx | Prometheus,Jenkins | AWS | Ansible | Linux | Git,10,15,0.6667,0.5191,1.0,0.6,0.5472,0.5579,0.3668,0.75,73
184,DevOps,Mid-Level,"DevOps engineer with 4+ years of hands-on experience in building production systems. Skills: Terraform, Prometheus, Git, Azure, Ansible. Background includes 5+ years roles.",Terraform | Prometheus | Git | Azure | Ansible,Docker | Kubernetes | CI/CD | Jenkins | AWS | GCP | Linux | Shell Scripting | Grafana | Nginx,5,15,0.3333,0.2553,1.0,0.6,0.2692,0.4627,0.2114,0.25,40
185,DevOps,Mid-Level,"Mid-level DevOps developer with 3+ years working on real-world projects. Skills: Git, CI/CD, Azure, Shell Scripting, Terraform, Kubernetes. Background includes developer roles.",Git | CI/CD | Azure | Shell Scripting | Terraform | Kubernetes,Docker | Jenkins | AWS | GCP | Ansible | Linux | Prometheus | Grafana | Nginx,6,15,0.4,0.3415,1.0,0.6,0.3941,0.4326,0.2811,0.5,45
186,DevOps,Senior,"Principal DevOps engineer with deep expertise and strong leadership background. Skills: Docker, Azure, Terraform, Grafana, Jenkins, Ansible. Background includes director roles.",Docker | Azure | Terraform | Grafana | Jenkins | Ansible | AWS | Kubernetes | Linux | Shell Scripting,CI/CD | GCP | Git | Prometheus | Nginx,10,15,0.6667,0.5328,1.0,0.9,0.5076,0.6277,0.4357,0.75,75
187,DevOps,Senior,"Senior DevOps professional with 8+ years of experience. Led multiple high-impact projects. Skills: Kubernetes, GCP, Terraform, Nginx, Azure, Prometheus. Background includes lead roles.",Kubernetes | GCP | Terraform | Nginx | Azure | Prometheus | Docker | AWS | CI/CD | Linux | Jenkins | Shell Scripting | Ansible | Git | Grafana,,15,15,1.0,0.868,1.0,0.9,0.8058,0.9124,0.7305,1.0,93
188,DevOps,Senior,"Senior DevOps professional with 8+ years of experience. Led multiple high-impact projects. Skills: Terraform, CI/CD, Kubernetes, Docker, Git, Nginx. Background includes architect roles.",Terraform | CI/CD | Kubernetes | Docker | Git | Nginx | Azure | Jenkins | Linux | Shell Scripting | Ansible | Grafana,AWS | GCP | Prometheus,12,15,0.8,0.5743,1.0,0.9,0.5624,0.7187,0.6872,0.75,75
189,DevOps,Senior,"Principal DevOps engineer with deep expertise and strong leadership background. Skills: Terraform, Ansible, Kubernetes, Linux, Shell Scripting, AWS. Background includes architect roles.",Terraform | Ansible | Kubernetes | Linux | Shell Scripting | AWS | Docker | GCP | Grafana | CI/CD | Azure | Prometheus | Git | Jenkins,Nginx,14,15,0.9333,0.8576,1.0,0.9,0.8529,0.9084,0.5727,1.0,94
190,DevOps,Senior,"Principal DevOps engineer with deep expertise and strong leadership background. Skills: Grafana, Nginx, Linux, Ansible, Kubernetes, CI/CD. Background includes head of roles.",Grafana | Nginx | Linux | Ansible | Kubernetes | CI/CD | Docker | Prometheus | Shell Scripting | Git | AWS | Azure | Terraform | GCP,Jenkins,14,15,0.9333,0.8252,1.0,0.9,0.7286,0.8142,0.6707,0.875,88
191,DevOps,Senior,"Senior DevOps professional with 8+ years of experience. Led multiple high-impact projects. Skills: Kubernetes, Linux, Prometheus, Grafana, CI/CD, GCP. Background includes head of roles.",Kubernetes | Linux | Prometheus | Grafana | CI/CD | GCP | Terraform | Docker | Azure,Jenkins | AWS | Ansible | Shell Scripting | Git | Nginx,9,15,0.6,0.4708,1.0,0.9,0.5455,0.8572,0.427,0.75,65
192,DevOps,Senior,"Senior DevOps professional with 8+ years of experience. Led multiple high-impact projects. Skills: Shell Scripting, CI/CD, Git, Terraform, Jenkins, GCP. Background includes lead roles.",Shell Scripting | CI/CD | Git | Terraform | Jenkins | GCP | Azure | AWS | Linux | Nginx | Kubernetes | Docker | Ansible | Grafana | Prometheus,,15,15,1.0,0.6857,1.0,0.9,0.9181,0.781,0.8815,1.0,92
193,DevOps,Senior,"Experienced DevOps architect with 10+ years delivering enterprise-scale solutions. Skills: Ansible, AWS, Prometheus, Azure, GCP, Shell Scripting. Background includes architect roles.",Ansible | AWS | Prometheus | Azure | GCP | Shell Scripting | Terraform | Grafana | Nginx,Docker | Kubernetes | CI/CD | Jenkins | Linux | Git,9,15,0.6,0.5009,1.0,0.9,0.4988,0.6175,0.478,0.5,65
194,DevOps,Senior,"Principal DevOps engineer with deep expertise and strong leadership background. Skills: Kubernetes, Git, Ansible, Jenkins, GCP, Grafana. Background includes lead roles.",Kubernetes | Git | Ansible | Jenkins | GCP | Grafana | Linux | Shell Scripting | Nginx,Docker | CI/CD | AWS | Azure | Terraform | Prometheus,9,15,0.6,0.5458,1.0,0.9,0.5419,0.8125,0.3965,0.375,66
195,DevOps,Senior,"Senior DevOps professional with 8+ years of experience. Led multiple high-impact projects. Skills: Jenkins, Prometheus, Docker, Grafana, Azure, Linux. Background includes head of roles.",Jenkins | Prometheus | Docker | Grafana | Azure | Linux | Kubernetes | Nginx | Shell Scripting | Git | GCP | Terraform | AWS | Ansible,CI/CD,14,15,0.9333,0.6122,1.0,0.9,0.7392,0.6765,0.7163,0.875,87
196,DevOps,Senior,"Principal DevOps engineer with deep expertise and strong leadership background. Skills: GCP, Git, Jenkins, Linux, Prometheus, Nginx. Background includes lead roles.",GCP | Git | Jenkins | Linux | Prometheus | Nginx | Grafana | CI/CD | Ansible | Kubernetes | Docker | Shell Scripting | Terraform | Azure,AWS,14,15,0.9333,0.7135,1.0,0.9,0.833,0.8357,0.7199,0.875,84
197,DevOps,Senior,"Senior DevOps professional with 8+ years of experience. Led multiple high-impact projects. Skills: AWS, Grafana, Linux, Shell Scripting, Prometheus, Docker. Background includes lead roles.",AWS | Grafana | Linux | Shell Scripting | Prometheus | Docker | Ansible | Nginx | Kubernetes | Git | Jenkins | Terraform | Azure | CI/CD,GCP,14,15,0.9333,0.7519,1.0,0.9,0.6822,0.7739,0.8331,0.875,83
198,DevOps,Senior,"Principal DevOps engineer with deep expertise and strong leadership background. Skills: Terraform, Prometheus, Azure, AWS, Jenkins, Nginx. Background includes architect roles.",Terraform | Prometheus | Azure | AWS | Jenkins | Nginx | Linux | Git | Kubernetes | CI/CD | GCP | Grafana,Docker | Ansible | Shell Scripting,12,15,0.8,0.7524,1.0,0.9,0.7029,0.5861,0.6991,0.875,80
199,DevOps,Senior,"Experienced DevOps architect with 10+ years delivering enterprise-scale solutions. Skills: Grafana, Docker, Linux, Terraform, AWS, Prometheus. Background includes head of roles.",Grafana | Docker | Linux | Terraform | AWS | Prometheus | Kubernetes | GCP | Nginx | Git | CI/CD | Jenkins,Azure | Ansible | Shell Scripting,12,15,0.8,0.6096,1.0,0.9,0.7222,0.8533,0.6108,0.875,75
200,DevOps,Senior,"Experienced DevOps architect with 10+ years delivering enterprise-scale solutions. Skills: Terraform, GCP, Git, Grafana, Azure, Shell Scripting. Background includes architect roles.",Terraform | GCP | Git | Grafana | Azure | Shell Scripting | AWS | Nginx | Ansible | Linux | CI/CD | Docker,Kubernetes | Jenkins | Prometheus,12,15,0.8,0.7054,1.0,0.9,0.7283,0.8401,0.5543,0.75,76
201,Cybersecurity,Entry-Level,Junior Cybersecurity developer eager to learn and grow in a fast-paced environment. Skills: Ethical Hacking. Background includes fresher roles.,Ethical Hacking,Network Security | Penetration Testing | SIEM | Firewalls | Cryptography | Kali Linux | Wireshark | Python | Risk Assessment | SOC | OWASP | Metasploit | Incident Response | Compliance,1,15,0.0667,0.0581,1.0,0.3,0.0662,0.0306,0.0369,0.125,10
202,Cybersecurity,Entry-Level,"Entry-level Cybersecurity intern with foundational knowledge and strong academic background. Skills: Compliance, Penetration Testing, Kali Linux. Background includes graduate roles.",Compliance | Penetration Testing | Kali Linux,Network Security | SIEM | Firewalls | Cryptography | Ethical Hacking | Wireshark | Python | Risk Assessment | SOC | OWASP | Metasploit | Incident Response,3,15,0.2,0.1721,1.0,0.3,0.1792,0.2455,0.1135,0.25,21
203,Cybersecurity,Entry-Level,"Recent graduate with a degree in Computer Science, passionate about Cybersecurity. Skills: Kali Linux, Incident Response, Firewalls, Ethical Hacking. Background includes fresher roles.",Kali Linux | Incident Response | Firewalls | Ethical Hacking,Network Security | Penetration Testing | SIEM | Cryptography | Wireshark | Python | Risk Assessment | SOC | OWASP | Metasploit | Compliance,4,15,0.2667,0.2272,1.0,0.3,0.2164,0.0999,0.2293,0.375,26
204,Cybersecurity,Entry-Level,"Recent graduate with a degree in Computer Science, passionate about Cybersecurity. Skills: Cryptography, OWASP, Firewalls, Penetration Testing, Python. Background includes intern roles.",Cryptography | OWASP | Firewalls | Penetration Testing | Python,Network Security | SIEM | Ethical Hacking | Kali Linux | Wireshark | Risk Assessment | SOC | Metasploit | Incident Response | Compliance,5,15,0.3333,0.3087,1.0,0.3,0.3133,0.1001,0.2843,0.375,24
205,Cybersecurity,Entry-Level,"Recent graduate with a degree in Computer Science, passionate about Cybersecurity. Skills: Network Security. Background includes graduate roles.",Network Security,Penetration Testing | SIEM | Firewalls | Cryptography | Ethical Hacking | Kali Linux | Wireshark | Python | Risk Assessment | SOC | OWASP | Metasploit | Incident Response | Compliance,1,15,0.0667,0.0533,0.5181,0.3,0.0597,0.2809,0.0382,0.125,10
206,Cybersecurity,Entry-Level,"Recent graduate with a degree in Computer Science, passionate about Cybersecurity. Skills: Cryptography, Penetration Testing, Incident Response. Background includes 0-1 years roles.",Cryptography | Penetration Testing | Incident Response,Network Security | SIEM | Firewalls | Ethical Hacking | Kali Linux | Wireshark | Python | Risk Assessment | SOC | OWASP | Metasploit | Compliance,3,15,0.2,0.1307,1.0,0.3,0.1556,0.0478,0.1212,0.25,22
207,Cybersecurity,Entry-Level,"Junior Cybersecurity developer eager to learn and grow in a fast-paced environment. Skills: SOC, Ethical Hacking, Compliance, Wireshark, Python. Background includes junior roles.",SOC | Ethical Hacking | Compliance | Wireshark | Python,Network Security | Penetration Testing | SIEM | Firewalls | Cryptography | Kali Linux | Risk Assessment | OWASP | Metasploit | Incident Response,5,15,0.3333,0.2476,1.0,0.3,0.2777,0.166,0.2131,0.25,28
208,Cybersecurity,Entry-Level,"Recent graduate with a degree in Computer Science, passionate about Cybersecurity. Skills: Compliance. Background includes junior roles.",Compliance,Network Security | Penetration Testing | SIEM | Firewalls | Cryptography | Ethical Hacking | Kali Linux | Wireshark | Python | Risk Assessment | SOC | OWASP | Metasploit | Incident Response,1,15,0.0667,0.0449,0.5319,0.3,0.0567,0.0582,0.0567,0.0,10
209,Cybersecurity,Entry-Level,"Recent graduate with a degree in Computer Science, passionate about Cybersecurity. Skills: Wireshark, SOC. Background includes 0-1 years roles.",Wireshark | SOC,Network Security | Penetration Testing | SIEM | Firewalls | Cryptography | Ethical Hacking | Kali Linux | Python | Risk Assessment | OWASP | Metasploit | Incident Response | Compliance,2,15,0.1333,0.0959,0.8696,0.3,0.1105,0.2222,0.1136,0.125,20
210,Cybersecurity,Entry-Level,Entry-level Cybersecurity intern with foundational knowledge and strong academic background. Skills: Ethical Hacking. Background includes graduate roles.,Ethical Hacking,Network Security | Penetration Testing | SIEM | Firewalls | Cryptography | Kali Linux | Wireshark | Python | Risk Assessment | SOC | OWASP | Metasploit | Incident Response | Compliance,1,15,0.0667,0.0467,0.7937,0.3,0.0545,0.0703,0.0418,0.125,11
211,Cybersecurity,Entry-Level,"Entry-level Cybersecurity intern with foundational knowledge and strong academic background. Skills: Firewalls, Incident Response, Ethical Hacking, Cryptography. Background includes 0-1 years roles.",Firewalls | Incident Response | Ethical Hacking | Cryptography,Network Security | Penetration Testing | SIEM | Kali Linux | Wireshark | Python | Risk Assessment | SOC | OWASP | Metasploit | Compliance,4,15,0.2667,0.2063,1.0,0.3,0.2372,0.1598,0.1574,0.375,24
212,Cybersecurity,Entry-Level,"Entry-level Cybersecurity intern with foundational knowledge and strong academic background. Skills: Ethical Hacking, Firewalls, Metasploit, Incident Response, Python. Background includes intern roles.",Ethical Hacking | Firewalls | Metasploit | Incident Response | Python,Network Security | Penetration Testing | SIEM | Cryptography | Kali Linux | Wireshark | Risk Assessment | SOC | OWASP | Compliance,5,15,0.3333,0.2185,1.0,0.3,0.3191,0.202,0.2309,0.25,30
213,Cybersecurity,Entry-Level,"Entry-level Cybersecurity intern with foundational knowledge and strong academic background. Skills: Firewalls, SIEM, Metasploit, Penetration Testing, Kali Linux. Background includes intern roles.",Firewalls | SIEM | Metasploit | Penetration Testing | Kali Linux,Network Security | Cryptography | Ethical Hacking | Wireshark | Python | Risk Assessment | SOC | OWASP | Incident Response | Compliance,5,15,0.3333,0.2294,1.0,0.3,0.3125,0.1354,0.2047,0.5,29
214,Cybersecurity,Entry-Level,Junior Cybersecurity developer eager to learn and grow in a fast-paced environment. Skills: OWASP. Background includes trainee roles.,OWASP,Network Security | Penetration Testing | SIEM | Firewalls | Cryptography | Ethical Hacking | Kali Linux | Wireshark | Python | Risk Assessment | SOC | Metasploit | Incident Response | Compliance,1,15,0.0667,0.0448,0.6897,0.3,0.0569,0.2968,0.0421,0.0,10
